
=====[ POSLOWIE ]=====
Lacznie: 498
Kobiety: 153
Mezczyzni: 345
Polskie znaki w nazwisku: 147
Wieloczlonowe imie: 46
Wieloczlonowe nazwisko: 25



imie	nazwisko	plec	polskie_znaki	wieloczlonowe_imie	wieloczlonowe_nazwisko
         Elżbieta Anna                  Polak    k          False                True                   False
                 Piotr                  Polak    m          False               False                   False
                Michał             Połuboczek    m           True               False                   False
             Agnieszka                Pomaska    k          False               False                   False
               Mariusz              Popielarz    m          False               False                   False
                Marcin               Porzucek    m          False               False                   False
                 Jacek                 Protas    m          False               False                   False
                Marcin               Przydacz    m          False               False                   False
              Grzegorz                   Puda    m          False               False                   False
                Michał                 Pyrzyk    m          False               False                   False
                Renata                    Rak    k          False               False                   False
              Ireneusz                    Raś    m           True               False                   False
              Zbigniew                    Rau    m          False               False                   False
             Magdalena                Roguska    k          False               False                   False
                Marcin             Romanowski    m          False               False                   False
                 Rafał             Romanowski    m          False               False                   False
               Bartosz               Romowicz    m          False               False                   False
                Monika                   Rosa    k          False               False                   False
               Wiesław               Różyński    m           True               False                   False
               Urszula                Rusecka    k          False               False                   False
              Grzegorz               Rusiecki    m          False               False                   False
                 Jakub               Rutnicki    m          False               False                   False
                 Paweł                Rychlik    m          False               False                   False
                 Marek                  Rząsa    m           True               False                   False
              Jarosław                  Rzepa    m          False               False                   False
                Tomasz             Rzymkowski    m          False               False                   False
              Jarosław               Sachajko    m          False               False                   False
                 Paweł                  Sałek    m           True               False                   False
              Wojciech                 Saługa    m           True               False                   False
               Tadeusz              Samborski    m          False               False                   False
                 Jacek                  Sasin    m          False               False                   False
                 Marek                Sawicki    m          False               False                   False
                   Ewa               Schädler    k          False               False                   False
                Joanna      Scheuring-Wielgus    k          False               False                    True
                  Anna                Schmidt    k          False               False                   False
                Łukasz              Schreiber    m          False               False                   False
              Jarosław                 Sellin    m          False               False                   False
              Olga Ewa     Semeniuk-Patkowska    k          False                True                    True
                Edward                 Siarka    m          False               False                   False
              Krystyna               Sibińska    k           True               False                   False
               Czesław             Siekierski    m          False               False                   False
                 Rafał              Siemaszko    m          False               False                   False
                Tomasz              Siemoniak    m          False               False                   False
            Bartłomiej            Sienkiewicz    m          False               False                   False
             Arkadiusz                 Sikora    m          False               False                   False
           Włodzimierz                 Skalik    m          False               False                   False
                Marcin             Skonieczka    m          False               False                   False
              Krystyna             Skowrońska    k           True               False                   False
              Sławomir                Skwarek    m          False               False                   False
              Waldemar               Sługocki    m           True               False                   False
              Weronika               Smarduch    k          False               False                   False
                Henryk                Smolarz    m          False               False                   False
             Kazimierz              Smoliński    m           True               False                   False
                  Anna                Sobolak    k          False               False                   False
             Krzysztof             Sobolewski    m          False               False                   False
                 Artur                  Soboń    m           True               False                   False
        Agnieszka Anna                   Soin    k          False                True                   False
              Zbigniew              Sosnowski    m          False               False                   False
                 Marek                   Sowa    m          False               False                   False
             Katarzyna                  Sójka    k           True               False                   False
             Magdalena                  Sroka    k          False               False                   False
             Mirosława     Stachowiak-Różecka    k           True               False                    True
             Katarzyna             Stachowicz    k          False               False                   False
               Dariusz              Stefaniuk    m          False               False                   False
            Franciszek            Sterczewski    m          False               False                   False
                 Marta                 Stożek    k           True               False                   False
           Piotr Paweł                 Strach    m          False                True                   False
                 Marek                 Subocz    m          False               False                   False
              Mirosław                 Suchoń    m           True               False                   False
                 Marek                  Suski    m          False               False                   False
                 Paweł                  Suski    m          False               False                   False
                 Artur             Szałabawka    m           True               False                   False
              Wojciech                Szarama    m          False               False                   False
               Wiesław            Szczepański    m           True               False                   False
                Michał               Szczerba    m          False               False                   False
             Krzysztof               Szczucki    m          False               False                   False
                Józefa       Szczurek-Żelazko    k           True               False                    True
                 Paweł            Szefernaker    m          False               False                   False
               Andrzej                 Szejna    m          False               False                   False
               Andrzej              Szewiński    m           True               False                   False
                  Adam                Szłapka    m           True               False                   False
                Henryk              Szopiński    m           True               False                   False
                 Paweł                  Szrot    m          False               False                   False
              Krystyna               Szumilas    k          False               False                   False
             Stanisław                  Szwed    m          False               False                   False
                   Ewa            Szymanowska    k          False               False                   False
             Krzysztof              Szymański    m           True               False                   False
                Tomasz              Szymański    m           True               False                   False
        vel Sęk Szymon             Szynkowski    m          False                True                   False
                Łukasz          Ściebiorowski    m           True               False                   False
             Agnieszka                 Ścigaj    k           True               False                   False
               Andrzej                 Śliwka    m           True               False                   False
                 Paweł                   Śliz    m           True               False                   False
             Krzysztof                Śmiszek    m           True               False                   False
                 Jacek                  Świat    m           True               False                   False
            Apoloniusz                 Tajner    m          False               False                   False
             Krzysztof            Tchórzewski    m           True               False                   False
                Robert                  Telus    m          False               False                   False
               Ryszard               Terlecki    m          False               False                   False
               Tadeusz            Tomaszewski    m          False               False                   False
           Włodzimierz            Tomaszewski    m          False               False                   False
                 Jacek                Tomczak    m          False               False                   False
               Wioleta                Tomczak    k          False               False                   False
                Cezary                Tomczyk    m          False               False                   False
                Maciej          Tomczykiewicz    m          False               False                   False
             Stanisław             Tomczyszyn    m          False               False                   False
            Małgorzata                  Tracz    k          False               False                   False
                Tomasz                  Trela    m          False               False                   False
             Krzysztof            Truskolaski    m          False               False                   False
             Krzysztof                  Tuduj    m          False               False                   False
             Sylwester                Tułajew    m           True               False                   False
                Witold             Tumanowicz    m          False               False                   False
                Donald                   Tusk    m          False               False                   False
             Stanisław                 Tyszka    m          False               False                   False
             Katarzyna               Ueberhan    k          False               False                   False
              Jarosław               Urbaniak    m          False               False                   False
                 Piotr                 Uruski    m          False               False                   False
                 Piotr               Uściński    m           True               False                   False
   Aleksandra Karolina    Uznańska-Wiśniewska    k           True                True                    True
              Jarosław                 Wałęsa    m           True               False                   False
